Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain	Shear Stress
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]	[Pa]
1	1E-1	******	******	******	******	25	5.8E0	-6.76E-5	1.43E0
2	2E-1	******	******	******	******	25	7.18E-1	-1.65E-6	1.77E-1
3	3E-1	******	******	******	******	25	-1.65E0	8.03E-5	-4.06E-1
4	4E-1	******	******	******	******	25	-2.54E-2	4.03E-4	-6.25E-3
5	5E-1	******	******	******	******	25	1.64E-2	1.2E-4	4.03E-3
6	6E-1	******	******	******	******	25	5.38E-3	1.47E-4	1.32E-3
7	7.01E-1	******	******	******	******	25	8.97E-2	-3.3E-5	2.2E-2
8	8.01E-1	******	******	******	******	25	1.01E-2	4.53E-5	2.49E-3
9	9.01E-1	******	******	******	******	25	2.5E-2	1.18E-4	6.13E-3
10	1E0	******	******	******	******	25	4.77E-2	-2.48E-5	1.17E-2
11	1.1E0	******	******	******	******	25	1.9E-2	8.93E-5	4.68E-3
12	1.2E0	******	******	******	******	25	6.6E-2	-5.1E-5	1.62E-2
13	1.3E0	******	******	******	******	25	6.01E-2	-1.63E-5	1.48E-2
14	1.4E0	******	******	******	******	25	4.12E-2	-2.16E-6	1.01E-2
15	1.5E0	******	******	******	******	25	3.01E-2	-8.7E-6	7.39E-3
16	1.6E0	******	******	******	******	25	8.84E-2	-3.1E-5	2.17E-2
17	1.7E0	******	******	******	******	25	1.07E-1	-1.56E-4	2.63E-2
18	1.8E0	******	******	******	******	25	5.59E-2	-3.78E-5	1.37E-2
19	1.9E0	******	******	******	******	25	5.64E-2	4.05E-5	1.39E-2
20	2E0	******	******	******	******	25	6.04E-2	-6.38E-5	1.48E-2
21	2.1E0	******	******	******	******	25	1.24E-1	-1.82E-4	3.04E-2
22	2.2E0	******	******	******	******	25	9.99E-2	-7.37E-6	2.45E-2
23	2.3E0	******	******	******	******	25	1.37E-1	-8.77E-5	3.38E-2
24	2.4E0	******	******	******	******	25	1.21E-1	-7.07E-5	2.97E-2
25	2.5E0	******	******	******	******	25	1.23E-1	-8.01E-5	3.02E-2
26	2.6E0	******	******	******	******	25	1.4E-1	-5.63E-5	3.43E-2
27	2.7E0	******	******	******	******	25	1.18E-1	-4.64E-5	2.89E-2
28	2.8E0	******	******	******	******	25	1.07E-1	3.35E-5	2.63E-2
29	2.9E0	******	******	******	******	25	1.18E-1	-3.09E-5	2.91E-2
30	3E0	******	******	******	******	25	9.08E-2	1.02E-4	2.23E-2
31	3.1E0	******	******	******	******	25	1.36E-1	-5.53E-5	3.34E-2
32	3.2E0	******	******	******	******	25	6.53E-2	5.23E-5	1.6E-2
33	3.3E0	******	******	******	******	25	5.19E-2	1.08E-4	1.28E-2
34	3.4E0	******	******	******	******	25	5.75E-2	1.61E-4	1.41E-2
35	3.5E0	******	******	******	******	25	1.13E-1	-5.23E-6	2.77E-2
36	3.6E0	******	******	******	******	25	5.76E-2	9.83E-5	1.41E-2
37	3.7E0	******	******	******	******	25	4.03E-2	1.43E-4	9.91E-3
38	3.8E0	******	******	******	******	25	5.42E-2	6.44E-5	1.33E-2
39	3.9E0	******	******	******	******	25	4.85E-2	7.88E-5	1.19E-2
40	4E0	******	******	******	******	25	-2.54E-2	2.01E-4	-6.24E-3
41	4.1E0	******	******	******	******	25	1.18E-2	1.55E-4	2.91E-3
42	4.2E0	******	******	******	******	25	7.1E-3	1.35E-4	1.75E-3
43	4.3E0	******	******	******	******	25	2.23E-2	1.49E-4	5.49E-3
44	4.4E0	******	******	******	******	25	4.67E-2	5.33E-5	1.15E-2
45	4.5E0	******	******	******	******	25	6.43E-2	1.47E-5	1.58E-2
46	4.6E0	******	******	******	******	25	1.12E-2	8.91E-5	2.75E-3
47	4.7E0	******	******	******	******	25	6.57E-2	-1.23E-5	1.61E-2
48	4.8E0	******	******	******	******	25	1.19E-2	1.33E-4	2.93E-3
49	4.9E0	******	******	******	******	25	8.02E-2	-1.85E-5	1.97E-2
50	5E0	******	******	******	******	25	1.86E-2	1.22E-5	4.57E-3
51	5.1E0	******	******	******	******	25	1.56E-1	-7.45E-5	3.83E-2
52	5.2E0	******	******	******	******	25	7.51E-2	-4.46E-5	1.84E-2
53	5.3E0	******	******	******	******	25	1.12E-1	-1.03E-4	2.75E-2
54	5.4E0	******	******	******	******	25	8.21E-2	9.07E-5	2.02E-2
55	5.5E0	******	******	******	******	25	1.4E-1	-1.14E-4	3.44E-2
56	5.6E0	******	******	******	******	25	1.4E-1	-9.58E-5	3.43E-2
57	5.7E0	******	******	******	******	25	1.26E-1	-7.21E-5	3.11E-2
58	5.8E0	******	******	******	******	25	1.28E-1	-1.09E-4	3.14E-2
59	5.9E0	******	******	******	******	25	1.85E-1	-9.55E-5	4.55E-2
60	6E0	******	******	******	******	25	8.64E-2	1.82E-4	2.12E-2
61	6.1E0	******	******	******	******	25	2.4E-1	-2.58E-4	5.91E-2
62	6.2E0	******	******	******	******	25	1.73E-1	-4.18E-5	4.26E-2
63	6.3E0	******	******	******	******	25	1.64E-1	-1.3E-4	4.03E-2
64	6.4E0	******	******	******	******	25	1.57E-1	-6.75E-6	3.86E-2
65	6.5E0	******	******	******	******	25	1.73E-1	2.52E-5	4.25E-2
66	6.6E0	******	******	******	******	25	2E-1	-1.47E-4	4.91E-2
67	6.7E0	******	******	******	******	25	1.02E-1	1.34E-4	2.52E-2
68	6.8E0	******	******	******	******	25	1.59E-1	-4.43E-5	3.92E-2
69	6.9E0	******	******	******	******	25	1.41E-1	9.53E-5	3.47E-2
70	7E0	******	******	******	******	25	1.6E-1	-8.12E-5	3.93E-2
71	7.1E0	******	******	******	******	25	1.19E-1	1.18E-4	2.92E-2
72	7.2E0	******	******	******	******	25	1.47E-1	3.54E-5	3.61E-2
73	7.3E0	******	******	******	******	25	8.05E-2	2.45E-4	1.98E-2
74	7.4E0	******	******	******	******	25	1.23E-1	5.68E-5	3.02E-2
75	7.5E0	******	******	******	******	25	1.49E-1	6.59E-5	3.67E-2
