Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]
1	2.43E+3	3E-3	2.23E+1	1.21E+2	5.43E0	20	4.99E0	9.94E-1
2	3.39E+3	4.71E-3	4.96E+1	1.81E+2	3.66E0	20	7.6E0	9.93E-1
3	3.86E+3	7.39E-3	1.05E+2	2.59E+2	2.47E0	20	1.14E+1	1E0
4	4.17E+3	1.16E-2	1.95E+2	3.42E+2	1.75E0	20	1.6E+1	9.96E-1
5	4.36E+3	1.82E-2	3.25E+2	4.12E+2	1.27E0	20	2.15E+1	1.01E0
6	4.48E+3	2.86E-2	4.84E+2	4.53E+2	9.37E-1	20	2.71E+1	1E0
7	4.56E+3	4.48E-2	6.49E+2	4.59E+2	7.08E-1	20	3.25E+1	1E0
8	4.61E+3	7.03E-2	8.04E+2	4.37E+2	5.43E-1	20	3.73E+1	1E0
9	4.64E+3	1.1E-1	9.4E+2	3.92E+2	4.17E-1	20	4.17E+1	1.01E0
10	4.66E+3	1.73E-1	1.05E+3	3.39E+2	3.23E-1	20	4.51E+1	1E0
11	4.68E+3	2.72E-1	1.14E+3	2.86E+2	2.51E-1	20	4.77E+1	9.98E-1
12	4.69E+3	4.27E-1	1.21E+3	2.39E+2	1.98E-1	20	4.99E+1	9.96E-1
13	4.7E+3	6.69E-1	1.26E+3	2.02E+2	1.6E-1	20	5.19E+1	1E0
14	4.7E+3	1.05E0	1.3E+3	1.72E+2	1.32E-1	20	5.34E+1	9.99E-1
15	4.71E+3	1.65E0	1.34E+3	1.52E+2	1.13E-1	20	5.48E+1	9.99E-1
16	4.72E+3	2.59E0	1.38E+3	1.4E+2	1.02E-1	20	5.62E+1	9.99E-1
17	4.73E+3	4.06E0	1.4E+3	1.27E+2	9.06E-2	20	5.72E+1	1E0
18	4.73E+3	6.37E0	1.42E+3	1.19E+2	8.42E-2	20	5.79E+1	1E0
19	4.74E+3	1E+1	1.41E+3	1.15E+2	8.16E-2	20	5.77E+1	1E0
