Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain	Shear Stress
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]	[Pa]
1	1E-1	******	******	******	******	30	8.73E-1	4.83E-6	2.14E-1
2	2E-1	******	******	******	******	30	-4.68E-1	2.17E-4	-1.15E-1
3	3E-1	******	******	******	******	30	8.93E-1	8.08E-5	2.19E-1
4	4E-1	******	******	******	******	30	9.3E-2	1.58E-4	2.29E-2
5	5E-1	******	******	******	******	30	5.89E-2	-2.62E-6	1.45E-2
6	6E-1	******	******	******	******	30	-6.28E-2	1.84E-4	-1.54E-2
7	7.01E-1	******	******	******	******	30	-1.45E-2	8.02E-5	-3.58E-3
8	8.01E-1	******	******	******	******	30	1.29E-3	9.04E-5	3.16E-4
9	9.01E-1	******	******	******	******	30	1.93E-2	2.5E-5	4.74E-3
10	1E0	******	******	******	******	30	-7.64E-3	1.56E-5	-1.88E-3
11	1.1E0	******	******	******	******	30	-4.86E-2	8.36E-5	-1.2E-2
12	1.2E0	******	******	******	******	30	4.55E-2	-7.32E-5	1.12E-2
13	1.3E0	******	******	******	******	30	3.55E-2	-4.43E-5	8.72E-3
14	1.4E0	******	******	******	******	30	1.06E-2	-5.08E-5	2.61E-3
15	1.5E0	******	******	******	******	30	3.24E-2	-1.53E-5	7.97E-3
16	1.6E0	******	******	******	******	30	7.53E-2	-1.46E-4	1.85E-2
17	1.7E0	******	******	******	******	30	9.42E-2	-1.68E-4	2.32E-2
18	1.8E0	******	******	******	******	30	6.52E-2	-1.19E-4	1.6E-2
19	1.9E0	******	******	******	******	30	1.18E-1	-1.27E-4	2.89E-2
20	2E0	******	******	******	******	30	4.83E-2	-1.89E-5	1.19E-2
21	2.1E0	******	******	******	******	30	1.07E-1	-6.33E-5	2.62E-2
22	2.2E0	******	******	******	******	30	8.53E-2	-9.07E-5	2.1E-2
23	2.3E0	******	******	******	******	30	9.32E-2	-6.6E-5	2.29E-2
24	2.4E0	******	******	******	******	30	7.89E-2	3.42E-6	1.94E-2
25	2.5E0	******	******	******	******	30	7.22E-2	3.07E-5	1.78E-2
26	2.6E0	******	******	******	******	30	3.93E-2	1.37E-5	9.65E-3
27	2.7E0	******	******	******	******	30	2.88E-2	1.06E-4	7.09E-3
28	2.8E0	******	******	******	******	30	5.64E-2	3.37E-5	1.39E-2
29	2.9E0	******	******	******	******	30	6.94E-3	1.33E-4	1.71E-3
30	3E0	******	******	******	******	30	-5.08E-2	1.47E-4	-1.25E-2
31	3.1E0	******	******	******	******	30	-2.67E-2	1.11E-4	-6.55E-3
32	3.2E0	******	******	******	******	30	-3.12E-2	1.08E-4	-7.66E-3
33	3.3E0	******	******	******	******	30	2.9E-2	-1.01E-5	7.12E-3
34	3.4E0	******	******	******	******	30	-7.18E-2	7.07E-5	-1.77E-2
35	3.5E0	******	******	******	******	30	3.5E-3	2.31E-5	8.59E-4
36	3.6E0	******	******	******	******	30	2.27E-2	-5.88E-5	5.58E-3
37	3.7E0	******	******	******	******	30	-4.13E-2	2.63E-5	-1.01E-2
38	3.8E0	******	******	******	******	30	-2.57E-2	-4.97E-5	-6.33E-3
39	3.9E0	******	******	******	******	30	-1.34E-2	-1.51E-5	-3.3E-3
40	4E0	******	******	******	******	30	2.28E-2	-7.85E-5	5.6E-3
41	4.1E0	******	******	******	******	30	-9.8E-3	-9.93E-5	-2.41E-3
42	4.2E0	******	******	******	******	30	3.07E-2	-9.82E-5	7.55E-3
43	4.3E0	******	******	******	******	30	-3.91E-2	1.85E-5	-9.6E-3
44	4.4E0	******	******	******	******	30	6.33E-2	-9.94E-5	1.56E-2
45	4.5E0	******	******	******	******	30	7.17E-3	-8.93E-5	1.76E-3
46	4.6E0	******	******	******	******	30	4.81E-3	-6.61E-5	1.18E-3
47	4.7E0	******	******	******	******	30	3.67E-2	-6.43E-5	9.03E-3
48	4.8E0	******	******	******	******	30	5.2E-3	7.24E-5	1.28E-3
49	4.9E0	******	******	******	******	30	6.72E-2	-1.07E-4	1.65E-2
50	5E0	******	******	******	******	30	-3.9E-2	1.33E-4	-9.6E-3
51	5.1E0	******	******	******	******	30	4.36E-2	-2.03E-6	1.07E-2
52	5.2E0	******	******	******	******	30	3.32E-3	1.55E-4	8.17E-4
53	5.3E0	******	******	******	******	30	2.94E-2	2.73E-5	7.23E-3
54	5.4E0	******	******	******	******	30	-1.03E-3	6.96E-5	-2.52E-4
55	5.5E0	******	******	******	******	30	-3.11E-2	7.71E-5	-7.64E-3
56	5.6E0	******	******	******	******	30	1.58E-2	5.04E-5	3.87E-3
57	5.7E0	******	******	******	******	30	3.32E-2	-3.68E-5	8.16E-3
58	5.8E0	******	******	******	******	30	1.03E-2	1.1E-4	2.54E-3
59	5.9E0	******	******	******	******	30	3.58E-2	-3.5E-5	8.79E-3
60	6E0	******	******	******	******	30	4.2E-2	-3.2E-5	1.03E-2
61	6.1E0	******	******	******	******	30	4.35E-2	-4.44E-5	1.07E-2
62	6.2E0	******	******	******	******	30	6.63E-2	-3.28E-5	1.63E-2
63	6.3E0	******	******	******	******	30	1.24E-1	-1.55E-4	3.05E-2
64	6.4E0	******	******	******	******	30	5.9E-2	-6.03E-5	1.45E-2
65	6.5E0	******	******	******	******	30	1.19E-1	-1.62E-4	2.93E-2
66	6.6E0	******	******	******	******	30	5.13E-2	-3.97E-5	1.26E-2
67	6.7E0	******	******	******	******	30	1.59E-1	-1.24E-4	3.9E-2
68	6.8E0	******	******	******	******	30	9.72E-2	-1.14E-4	2.39E-2
69	6.9E0	******	******	******	******	30	1.33E-1	-8.27E-5	3.28E-2
70	7E0	******	******	******	******	30	7.58E-2	2.99E-5	1.86E-2
71	7.1E0	******	******	******	******	30	9.33E-2	-2.48E-5	2.29E-2
72	7.2E0	******	******	******	******	30	1.26E-1	-2.92E-5	3.09E-2
73	7.3E0	******	******	******	******	30	4.69E-2	4.56E-5	1.15E-2
74	7.4E0	******	******	******	******	30	8.16E-2	5.16E-5	2.01E-2
75	7.5E0	******	******	******	******	30	3.19E-2	1.02E-4	7.84E-3
76	7.6E0	******	******	******	******	30	4.5E-2	1.24E-4	1.11E-2
77	7.7E0	******	******	******	******	30	4.95E-2	-8.97E-6	1.22E-2
78	7.8E0	******	******	******	******	30	-1.19E-2	1.51E-4	-2.91E-3
79	7.9E0	******	******	******	******	30	-5.61E-3	1.11E-4	-1.38E-3
80	8E0	******	******	******	******	30	4.86E-2	5.96E-5	1.19E-2
81	8.1E0	******	******	******	******	30	2.06E-2	8.27E-6	5.07E-3
82	8.2E0	******	******	******	******	30	-2.94E-2	5.85E-5	-7.23E-3
83	8.3E0	******	******	******	******	30	2.63E-2	2.22E-5	6.47E-3
84	8.4E0	******	******	******	******	30	5.49E-2	-1.51E-4	1.35E-2
85	8.5E0	******	******	******	******	30	1.07E-2	4.73E-5	2.63E-3
86	8.6E0	******	******	******	******	30	3.26E-2	-8.26E-5	8E-3
