Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]
1	6.11E+3	1E-3	4.94E-1	9.28E0	1.88E+1	25	3.72E-1	9.82E-1
2	9.9E+3	1.58E-3	8.06E-1	1.47E+1	1.82E+1	25	6.03E-1	1.01E0
3	1.23E+4	2.51E-3	1.4E0	2.34E+1	1.68E+1	25	9.62E-1	1.01E0
4	1.37E+4	3.98E-3	2.95E0	3.7E+1	1.26E+1	25	1.52E0	1.01E0
5	1.44E+4	6.31E-3	6.25E0	5.78E+1	9.25E0	25	2.38E0	1E0
6	1.48E+4	1E-2	1.4E+1	8.97E+1	6.39E0	25	3.69E0	9.98E-1
7	1.51E+4	1.58E-2	2.99E+1	1.37E+2	4.58E0	25	5.75E0	1.01E0
8	1.52E+4	2.51E-2	6.55E+1	2.03E+2	3.1E0	25	8.61E0	9.9E-1
9	1.53E+4	3.98E-2	1.28E+2	2.83E+2	2.21E0	25	1.28E+1	1.01E0
10	1.54E+4	6.31E-2	2.33E+2	3.65E+2	1.57E0	25	1.78E+1	1.01E0
11	1.54E+4	1E-1	3.77E+2	4.26E+2	1.13E0	25	2.35E+1	1.01E0
12	1.54E+4	1.58E-1	5.48E+2	4.51E+2	8.23E-1	25	2.9E+1	1E0
13	1.54E+4	2.51E-1	7.12E+2	4.37E+2	6.13E-1	25	3.4E+1	1E0
14	1.55E+4	3.98E-1	8.55E+2	3.94E+2	4.61E-1	25	3.83E+1	1E0
15	1.55E+4	6.31E-1	9.72E+2	3.4E+2	3.49E-1	25	4.2E+1	1E0
16	1.55E+4	1E0	1.06E+3	2.82E+2	2.65E-1	25	4.47E+1	9.99E-1
17	1.55E+4	1.58E0	1.13E+3	2.32E+2	2.06E-1	25	4.69E+1	1E0
18	1.55E+4	2.51E0	1.18E+3	1.89E+2	1.6E-1	25	4.86E+1	1E0
19	1.55E+4	3.98E0	1.22E+3	1.59E+2	1.3E-1	25	5E+1	1E0
20	1.55E+4	6.31E0	1.24E+3	1.37E+2	1.1E-1	25	5.09E+1	1E0
21	1.55E+4	1E+1	1.26E+3	1.24E+2	9.88E-2	25	5.13E+1	1E0
