Interval:			16
Number of Data Points:			17

Time Setting:			17 Meas. Pts.
Measuring Profile:
- Strain			Amplitude gamma = 1 %
			Frequency f = 0.1 ... 40 Hz log; |Slope| = 6.1489743 Pt. / dec 
  Temperature			T[-1] = 30 °C

Meas. Pts.	Angular Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Complex Viscosity	Torque	Status	Time
	[rad/s]	[Pa]	[Pa]	[1]	[°C]	[Pa·s]	[mNm]	[]	[s]
1	0.628	11.5	25.7	2.23	30	44.9	0.00115		27600
2	0.914	12.9	36.6	2.84	30	42.4	0.00158		27600
3	1.33	15.2	52.1	3.43	30	40.9	0.00223		27700
4	1.93	19.9	74.2	3.72	30	39.7	0.00315		27700
5	2.81	29.7	105	3.53	30	38.8	0.00447		27700
6	4.09	48.2	145	3.01	30	37.4	0.00627		27700
7	5.94	82.2	196	2.38	30	35.7	0.0087		27700
8	8.64	139	251	1.8	30	33.2	0.0117		27700
9	12.6	222	299	1.35	30	29.6	0.0152		27700
10	18.3	324	329	1.01	30	25.3	0.0189		27700
11	26.6	436	333	0.764	30	20.6	0.0224		27800
12	38.6	546	314	0.575	30	16.3	0.0257		27800
13	56.2	651	280	0.431	30	12.6	0.029		27800
14	81.7	764	241	0.316	30	9.8	0.0327		27800
15	119	912	204	0.224	30	7.86	0.0382		27800
16	173	1170	170	0.145	30	6.86	0.0486		27800
17	251	1660	126	0.0761	30	6.62	0.0681		27800
