Interval:			18
Number of Data Points:			17

Time Setting:			17 Meas. Pts.
Measuring Profile:
- Strain			Amplitude gamma = 1 %
			Frequency f = 0.1 ... 40 Hz log; |Slope| = 6.1489743 Pt. / dec 
  Temperature			T[-1] = 30 °C

Meas. Pts.	Angular Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Complex Viscosity	Torque	Status	Time
	[rad/s]	[Pa]	[Pa]	[1]	[°C]	[Pa·s]	[mNm]	[]	[s]
1	0.628	11.9	28	2.36	30	48.5	0.00124		31500
2	0.914	13.3	39.7	2.97	30	45.8	0.00172		31500
3	1.33	15.9	56.5	3.56	30	44.2	0.00241		31500
4	1.93	21.3	80.4	3.77	30	43.1	0.00342		31500
5	2.81	31.7	113	3.57	30	41.9	0.00483		31600
6	4.09	52.6	157	2.99	30	40.5	0.00679		31600
7	5.94	90.1	211	2.34	30	38.6	0.00943		31600
8	8.64	151	268	1.78	30	35.6	0.0125		31600
9	12.6	238	318	1.33	30	31.6	0.0163		31600
10	18.3	345	348	1.01	30	26.8	0.02		31600
11	26.6	456	350	0.767	30	21.6	0.0235		31600
12	38.6	556	329	0.591	30	16.7	0.0265		31600
13	56.2	636	293	0.461	30	12.5	0.0286		31600
14	81.7	690	252	0.364	30	8.99	0.03		31600
15	119	715	214	0.299	30	6.28	0.0305		31600
16	173	693	178	0.257	30	4.14	0.0293		31600
17	251	607	138	0.227	30	2.47	0.0254		31600
