Interval:			10
Number of Data Points:			17

Time Setting:			17 Meas. Pts.
Measuring Profile:
- Strain			Amplitude gamma = 1 %
			Frequency f = 0.1 ... 40 Hz log; |Slope| = 6.1489743 Pt. / dec 
  Temperature			T[-1] = 30 °C

Meas. Pts.	Angular Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Complex Viscosity	Torque	Status	Time
	[rad/s]	[Pa]	[Pa]	[1]	[°C]	[Pa·s]	[mNm]	[]	[s]
1	0.628	12.7	24	1.89	30	43.2	0.00111		16100
2	0.914	13.8	33.9	2.45	30	40.1	0.00149		16100
3	1.33	15.8	48.3	3.06	30	38.2	0.00209		16200
4	1.93	19.7	68.8	3.49	30	37.1	0.00293		16200
5	2.81	27.7	97.7	3.53	30	36.2	0.00417		16200
6	4.09	43.8	137	3.12	30	35.1	0.00588		16200
7	5.94	73.4	187	2.54	30	33.7	0.00827		16200
8	8.64	123	243	1.97	30	31.5	0.0112		16200
9	12.6	198	296	1.49	30	28.4	0.0146		16200
10	18.3	295	333	1.13	30	24.4	0.0182		16200
11	26.6	400	347	0.866	30	19.9	0.0216		16200
12	38.6	493	332	0.674	30	15.4	0.0243		16200
13	56.2	559	303	0.541	30	11.3	0.026		16300
14	81.7	578	260	0.451	30	7.75	0.0259		16300
15	119	516	220	0.426	30	4.72	0.0229		16300
16	173	319	182	0.571	30	2.13	0.015		16300
