Interval:			22
Number of Data Points:			17

Time Setting:			17 Meas. Pts.
Measuring Profile:
- Strain			Amplitude gamma = 1 %
			Frequency f = 0.1 ... 40 Hz log; |Slope| = 6.1489743 Pt. / dec 
  Temperature			T[-1] = 30 °C

Meas. Pts.	Angular Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Complex Viscosity	Torque	Status	Time
	[rad/s]	[Pa]	[Pa]	[1]	[°C]	[Pa·s]	[mNm]	[]	[s]
1	0.628	12	29	2.41	30	50	0.00128		39200
2	0.914	13.6	41.2	3.03	30	47.4	0.00177		39200
3	1.33	16.3	58.6	3.59	30	45.8	0.00249		39200
4	1.93	22.4	83.1	3.71	30	44.6	0.00355		39200
5	2.81	34.2	117	3.44	30	43.5	0.00501		39200
6	4.09	56.2	162	2.87	30	41.8	0.00701		39300
7	5.94	96.3	216	2.24	30	39.8	0.0097		39300
8	8.64	161	272	1.69	30	36.5	0.013		39300
9	12.6	251	318	1.27	30	32.3	0.0166		39300
10	18.3	360	343	0.953	30	27.2	0.0203		39300
11	26.6	473	342	0.723	30	22	0.0239		39300
12	38.6	580	318	0.548	30	17.1	0.0271		39300
13	56.2	679	282	0.415	30	13.1	0.0301		39300
14	81.7	777	241	0.31	30	9.96	0.0333		39300
15	119	901	202	0.224	30	7.77	0.0378		39300
16	173	1110	174	0.156	30	6.53	0.0462		39300
17	251	1490	131	0.0879	30	5.95	0.0612		39300
