Interval:			26
Number of Data Points:			17

Time Setting:			17 Meas. Pts.
Measuring Profile:
- Strain			Amplitude gamma = 1 %
			Frequency f = 0.1 ... 40 Hz log; |Slope| = 6.1489743 Pt. / dec 
  Temperature			T[-1] = 30 °C

Meas. Pts.	Angular Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Complex Viscosity	Torque	Status	Time
	[rad/s]	[Pa]	[Pa]	[1]	[°C]	[Pa·s]	[mNm]	[]	[s]
1	0.628	13	32.4	2.49	30	55.5	0.00142		46800
2	0.914	14.8	45.9	3.1	30	52.8	0.00198		46900
3	1.33	18.3	65.4	3.58	30	51.1	0.00278		46900
4	1.93	24.8	92.9	3.75	30	49.8	0.00395		46900
5	2.81	38.6	131	3.39	30	48.5	0.0056		46900
6	4.09	65	179	2.76	30	46.7	0.00783		46900
7	5.94	110	238	2.16	30	44.1	0.0108		47000
8	8.64	182	296	1.63	30	40.2	0.0142		47000
9	12.6	279	343	1.23	30	35.2	0.0182		47000
10	18.3	391	366	0.936	30	29.3	0.0219		47000
11	26.6	504	361	0.717	30	23.3	0.0253		47000
12	38.6	601	334	0.556	30	17.8	0.0281		47000
13	56.2	670	294	0.44	30	13	0.0299		47000
14	81.7	705	252	0.357	30	9.16	0.0306		47000
15	119	685	211	0.308	30	6.03	0.0293		47000
16	173	581	168	0.289	30	3.5	0.0247		47000
17	251	328	142	0.434	30	1.42	0.0146		47000
