Interval:			28
Number of Data Points:			17

Time Setting:			17 Meas. Pts.
Measuring Profile:
- Strain			Amplitude gamma = 1 %
			Frequency f = 0.1 ... 40 Hz log; |Slope| = 6.1489743 Pt. / dec 
  Temperature			T[-1] = 30 °C

Meas. Pts.	Angular Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Complex Viscosity	Torque	Status	Time
	[rad/s]	[Pa]	[Pa]	[1]	[°C]	[Pa·s]	[mNm]	[]	[s]
1	0.628	13.2	33.2	2.53	30	56.9	0.00146		50700
2	0.914	15.1	47.1	3.12	30	54.2	0.00203		50700
3	1.33	18.8	67.1	3.57	30	52.4	0.00286		50700
4	1.93	26.1	95.3	3.65	30	51.2	0.00412		50800
5	2.81	40.6	134	3.3	30	49.7	0.00571		50800
6	4.09	67.5	184	2.72	30	47.9	0.00805		50800
7	5.94	115	242	2.11	30	45	0.011		50800
8	8.64	187	301	1.61	30	41	0.0146		50800
9	12.6	288	346	1.2	30	35.8	0.0184		50800
10	18.3	400	367	0.919	30	29.7	0.0222		50800
11	26.6	513	361	0.704	30	23.6	0.0257		50800
12	38.6	611	333	0.545	30	18	0.0285		50800
13	56.2	681	293	0.431	30	13.2	0.0303		50800
14	81.7	722	249	0.345	30	9.35	0.0313		50900
15	119	714	209	0.293	30	6.26	0.0304		50900
16	173	647	172	0.266	30	3.87	0.0274		50900
17	251	414	131	0.315	30	1.73	0.0178		50900
