Interval:			14
Number of Data Points:			17

Time Setting:			17 Meas. Pts.
Measuring Profile:
- Strain			Amplitude gamma = 1 %
			Frequency f = 0.1 ... 40 Hz log; |Slope| = 6.1489743 Pt. / dec 
  Temperature			T[-1] = 30 °C

Meas. Pts.	Angular Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Complex Viscosity	Torque	Status	Time
	[rad/s]	[Pa]	[Pa]	[1]	[°C]	[Pa·s]	[mNm]	[]	[s]
1	0.628	12	25.3	2.11	30	44.6	0.00115		23800
2	0.914	13.3	35.8	2.69	30	41.8	0.00155		23800
3	1.33	15.4	50.9	3.3	30	40	0.00219		23800
4	1.93	20.1	72.5	3.61	30	38.9	0.00308		23900
5	2.81	29.1	102	3.52	30	37.8	0.00437		23900
6	4.09	47.1	143	3.04	30	36.9	0.00617		23900
7	5.94	80	193	2.41	30	35.2	0.00861		23900
8	8.64	134	248	1.85	30	32.7	0.0116		23900
9	12.6	215	298	1.38	30	29.3	0.0151		23900
10	18.3	316	331	1.05	30	25	0.0187		23900
11	26.6	426	338	0.792	30	20.5	0.0223		23900
12	38.6	532	319	0.6	30	16	0.0254		23900
13	56.2	625	286	0.457	30	12.2	0.0281		23900
14	81.7	711	246	0.347	30	9.21	0.0308		23900
15	119	805	208	0.259	30	7	0.034		23900
16	173	919	170	0.185	30	5.41	0.0382		24000
17	251	1160	143	0.124	30	4.64	0.0477		24000
