Interval:			12
Number of Data Points:			17

Time Setting:			17 Meas. Pts.
Measuring Profile:
- Strain			Amplitude gamma = 1 %
			Frequency f = 0.1 ... 40 Hz log; |Slope| = 6.1489743 Pt. / dec 
  Temperature			T[-1] = 30 °C

Meas. Pts.	Angular Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Complex Viscosity	Torque	Status	Time
	[rad/s]	[Pa]	[Pa]	[1]	[°C]	[Pa·s]	[mNm]	[]	[s]
1	0.628	12.5	25.3	2.03	30	44.8	0.00115		19900
2	0.914	13.7	36	2.62	30	42.1	0.00157		20000
3	1.33	15.9	51.1	3.22	30	40.3	0.0022		20000
4	1.93	20	72.7	3.63	30	39	0.0031		20000
5	2.81	28.9	103	3.56	30	38.1	0.00439		20000
6	4.09	46.2	143	3.11	30	36.9	0.00619		20000
7	5.94	78.4	195	2.49	30	35.4	0.00869		20000
8	8.64	131	253	1.93	30	33	0.0117		20100
9	12.6	211	307	1.46	30	29.6	0.0152		20100
10	18.3	312	341	1.09	30	25.3	0.019		20100
11	26.6	418	351	0.84	30	20.5	0.0223		20100
12	38.6	513	335	0.653	30	15.8	0.025		20100
13	56.2	577	303	0.524	30	11.6	0.0267		20100
14	81.7	596	262	0.439	30	7.97	0.0266		20100
15	119	538	218	0.405	30	4.88	0.0237		20100
16	173	341	195	0.571	30	2.27	0.0161		20100
