Interval:			4
Number of Data Points:			17

Time Setting:			17 Meas. Pts.
Measuring Profile:
- Strain			Amplitude gamma = 1 %
			Frequency f = 0.1 ... 40 Hz log; |Slope| = 6.1489743 Pt. / dec 
  Temperature			T[-1] = 25 °C

Meas. Pts.	Angular Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Complex Viscosity	Torque	Status	Time
	[rad/s]	[Pa]	[Pa]	[1]	[°C]	[Pa·s]	[mNm]	[]	[s]
1	0.628	33.8	122	3.6	25	201	0.00514		6490
2	0.914	57.2	168	2.94	25	194	0.00712		6510
3	1.33	97.7	223	2.29	25	183	0.00995		6540
4	1.93	162	282	1.74	25	168	0.0135		6560
5	2.81	252	332	1.32	25	148	0.0171		6580
6	4.09	363	364	1	25	126	0.021		6590
7	5.94	481	369	0.768	25	102	0.0248		6590
8	8.64	589	351	0.596	25	79.3	0.028		6600
9	12.6	684	317	0.464	25	60	0.0308		6610
10	18.3	761	277	0.364	25	44.3	0.0332		6620
11	26.6	821	236	0.288	25	32.1	0.035		6620
12	38.6	870	199	0.229	25	23.1	0.0365		6630
13	56.2	909	169	0.185	25	16.4	0.0378		6640
14	81.7	945	142	0.15	25	11.7	0.0388		6650
15	119	991	124	0.125	25	8.4	0.0408		6660
16	173	1060	98.3	0.0926	25	6.16	0.0436		6670
17	251	1190	85.8	0.0719	25	4.76	0.0489		6670
