Interval:			24
Number of Data Points:			17

Time Setting:			17 Meas. Pts.
Measuring Profile:
- Strain			Amplitude gamma = 1 %
			Frequency f = 0.1 ... 40 Hz log; |Slope| = 6.1489743 Pt. / dec 
  Temperature			T[-1] = 30 °C

Meas. Pts.	Angular Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Complex Viscosity	Torque	Status	Time
	[rad/s]	[Pa]	[Pa]	[1]	[°C]	[Pa·s]	[mNm]	[]	[s]
1	0.628	12.9	31.2	2.41	30	53.7	0.00138		43000
2	0.914	14.5	44.3	3.05	30	51	0.00191		43000
3	1.33	17.7	63.1	3.57	30	49.3	0.00269		43100
4	1.93	24.3	89.6	3.68	30	48	0.0038		43100
5	2.81	36.9	126	3.41	30	46.7	0.0054		43100
6	4.09	61.6	173	2.82	30	45	0.00753		43100
7	5.94	104	230	2.21	30	42.6	0.0104		43100
8	8.64	173	290	1.67	30	39.1	0.0139		43100
9	12.6	269	337	1.26	30	34.3	0.0177		43100
10	18.3	380	361	0.952	30	28.7	0.0215		43100
11	26.6	492	357	0.726	30	22.9	0.0249		43100
12	38.6	590	332	0.562	30	17.5	0.0277		43100
13	56.2	664	294	0.443	30	12.9	0.0297		43200
14	81.7	707	251	0.355	30	9.18	0.0307		43200
15	119	711	207	0.291	30	6.23	0.0303		43200
16	173	641	184	0.287	30	3.86	0.0273		43200
17	251	489	134	0.274	30	2.02	0.0208		43200
