Interval:			8
Number of Data Points:			17

Time Setting:			17 Meas. Pts.
Measuring Profile:
- Strain			Amplitude gamma = 1 %
			Frequency f = 0.1 ... 40 Hz log; |Slope| = 6.1489743 Pt. / dec 
  Temperature			T[-1] = 30 °C

Meas. Pts.	Angular Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Complex Viscosity	Torque	Status	Time
	[rad/s]	[Pa]	[Pa]	[1]	[°C]	[Pa·s]	[mNm]	[]	[s]
1	0.628	9.91	22.6	2.28	30	39.3	0.00101		12300
2	0.914	11.1	31.5	2.85	30	36.6	0.00137		12300
3	1.33	13	44.6	3.43	30	35	0.00191		12300
4	1.93	16.7	63.4	3.81	30	33.9	0.00268		12300
5	2.81	24	89.7	3.73	30	33.1	0.00382		12300
6	4.09	37.9	126	3.32	30	32.1	0.0054		12400
7	5.94	64.3	173	2.69	30	31	0.00756		12400
8	8.64	110	226	2.05	30	29.1	0.0103		12400
9	12.6	180	277	1.54	30	26.3	0.0135		12400
10	18.3	273	316	1.16	30	22.8	0.0171		12400
11	26.6	377	330	0.874	30	18.9	0.0205		12400
12	38.6	479	321	0.67	30	14.9	0.0236		12400
13	56.2	566	294	0.519	30	11.4	0.0261		12400
14	81.7	639	256	0.401	30	8.42	0.0281		12400
15	119	689	217	0.315	30	6.08	0.0295		12400
16	173	717	183	0.256	30	4.28	0.0303		12400
17	251	749	149	0.199	30	3.04	0.0312		12400
